"comm_name_orig","comm_name","sci_name","level","category","type","class","order","family","genus","species"
"True Crabs","True crabs",NA,"general","Crabs",NA,NA,NA,NA,NA,NA
"Yellowfin Goby","Yellowfin goby","Acanthogobius flavimanus","species",NA,"fish","Actinopteri","Gobiiformes","Gobiidae","Acanthogobius","flavimanus"
"Green Sturgeon","Green sturgeon","Acipenser medirostris","species",NA,"fish","Actinopteri","Acipenseriformes","Acipenseridae","Acipenser","medirostris"
"White Sturgeon","White sturgeon","Acipenser transmontanus","species",NA,"fish","Actinopteri","Acipenseriformes","Acipenseridae","Acipenser","transmontanus"
"Bonefish","Bonefish","Albula esuncula","species",NA,"fish","Actinopteri","Albuliformes","Albulidae","Albula","esuncula"
"Longnose Lancetfish","Longnose lancetfish","Alepisaurus ferox","species","Tunas + large pelagics","fish","Actinopteri","Aulopiformes","Alepisauridae","Alepisaurus","ferox"
"Sanddab Genus","Sanddab genus",NA,"general","Flatfish",NA,NA,NA,NA,NA,NA
"Thresher Shark","Thresher shark","Alopias vulpinus","species","Sharks and rays","fish","Elasmobranchii","Lamniformes","Alopiidae","Alopias","vulpinus"
"American Shad","American shad","Alosa sapidissima","species","Coastal pelagics","fish","Actinopteri","Clupeiformes","Clupeidae","Alosa","sapidissima"
"Pacific Sand Lance","Pacific sand lance","Ammodytes hexapterus","species","Coastal pelagics","fish","Actinopteri","Perciformes/Uranoscopoidei","Ammodytidae","Ammodytes","hexapterus"
"Barred Surfperch","Barred surfperch","Amphistichus argenteus","species","Surfperch","fish","Actinopteri","Ovalentaria/misc","Embiotocidae","Amphistichus","argenteus"
"Calico Surfperch","Calico surfperch","Amphistichus koelzi","species","Surfperch","fish","Actinopteri","Ovalentaria/misc","Embiotocidae","Amphistichus","koelzi"
"Redtail Surfperch","Redtail surfperch","Amphistichus rhodoterus","species","Surfperch","fish","Actinopteri","Ovalentaria/misc","Embiotocidae","Amphistichus","rhodoterus"
"Wolf-Eel","Wolf eel","Anarrhichthys ocellatus","species",NA,"fish","Actinopteri","Perciformes/Zoarcoidei","Anarhichadidae","Anarrhichthys","ocellatus"
"Deepbody Anchovy","Deepbody anchovy","Anchoa compressa","species","Coastal pelagics","fish","Actinopteri","Clupeiformes","Engraulidae","Anchoa","compressa"
"Sargo","Sargo","Anisotremus davidsonii","species",NA,"fish","Actinopteri","Eupercaria/misc","Haemulidae","Anisotremus","davidsonii"
"Sablefish","Sablefish","Anoplopoma fimbria","species","Roundfish","fish","Actinopteri","Perciformes/Cottoidei","Anoplopomatidae","Anoplopoma","fimbria"
"Rockweed Gunnel","Rockweed gunnel","Apodichthys fucorum","species",NA,"fish","Actinopteri","Perciformes/Zoarcoidei","Pholidae","Apodichthys","fucorum"
"Pacific Argentine","Pacific argentine","Argentina sialis","species",NA,"fish","Actinopteri","Argentiniformes","Argentinidae","Argentina","sialis"
"Smoothhead Sculpin","Smoothhead sculpin","Artedius lateralis","species",NA,"fish","Actinopteri","Perciformes/Cottoidei","Cottidae","Artedius","lateralis"
"Bonehead Sculpin","Bonehead sculpin","Artedius notospilotus","species",NA,"fish","Actinopteri","Perciformes/Cottoidei","Cottidae","Artedius","notospilotus"
"Arrowtooth Flounder","Arrowtooth flounder","Atheresthes stomias","species","Flatfish","fish","Actinopteri","Pleuronectiformes","Pleuronectidae","Atheresthes","stomias"
"Topsmelt","Topsmelt","Atherinops affinis","species","Coastal pelagics","fish","Actinopteri","Atheriniformes","Atherinopsidae","Atherinops","affinis"
"Jacksmelt","Jacksmelt","Atherinopsis californiensis","species","Coastal pelagics","fish","Actinopteri","Atheriniformes","Atherinopsidae","Atherinopsis","californiensis"
"White Seabass","White seabass","Atractoscion nobilis","species",NA,"fish","Actinopteri","Eupercaria/misc","Sciaenidae","Atractoscion","nobilis"
"Deacon/Blue Rockfish Unknown","Deacon/blue rockfish unknown",NA,"general","Rockfish",NA,NA,NA,NA,NA,NA
"Rockfish Genus","Rockfish genus",NA,"general","Rockfish",NA,NA,NA,NA,NA,NA
